id,name,city,state,categories,mission_goals,description,registration_id,accepts_items,accepts_volunteer_skills,website
930,Nirmaan Trust,Pune,Maharashtra,animal welfare,"Working towards sustainable animal welfare solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to animal welfare with experience in project implementation and volunteer coordination.,REG75029457,toys,"event management, agriculture expertise",
931,Udaan Centre,Chennai,Tamil Nadu,education,"We provide support and resources for education, aiming to build local resilience and skills.","Udaan Centre works across Chennai, offering programs in education. They focus on long-term impact and community engagement.",REG64743858,,event management,https://www.udaancentre.org
932,Sankriti Federation,Delhi,Delhi,arts & culture,To improve access to arts & culture services for underserved communities in Delhi and surrounding areas.,Sankriti Federation runs multiple initiatives in Delhi related to arts & culture and works closely with local beneficiaries.,REG73395459,food,"event management, counselling, teaching",
933,Nayi Soch Association,Kochi,Kerala,women empowerment,"Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to women empowerment with experience in project implementation and volunteer coordination.,REG54940960,"computers, medical supplies, clothes",medical,
934,Dhanak Federation,Nagpur,Maharashtra,"elderly care, education",Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,"Dhanak Federation works across Nagpur, offering programs in elderly care. They focus on long-term impact and community engagement.",REG93020661,stationery,,
935,Jagruti Trust,Delhi,Delhi,"health, water & sanitation",Committed to delivering scalable health interventions through partnerships with local stakeholders.,A grassroots organization dedicated to health with experience in project implementation and volunteer coordination.,REG42601562,"computers, blankets","legal aid, construction",
936,Sahyog Mission,Jaipur,Rajasthan,microfinance,"Working towards sustainable microfinance solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to microfinance with experience in project implementation and volunteer coordination.,REG38494663,toys,marketing,
937,Samarpan Federation,Indore,Madhya Pradesh,elderly care,"Working towards sustainable elderly care solutions, focusing on community-driven projects and capacity building.",Samarpan Federation runs multiple initiatives in Indore related to elderly care and works closely with local beneficiaries.,REG27006764,"food, medical supplies, toys",,
938,Sankriti Initiative,Guwahati,Assam,disability support,To improve access to disability support services for underserved communities in Guwahati and surrounding areas.,Sankriti Initiative runs multiple initiatives in Guwahati related to disability support and works closely with local beneficiaries.,REG41874765,"clothes, food",counselling,https://www.sankritiinitiative.org
939,Sahyog Mission,Nagpur,Maharashtra,child welfare,Committed to delivering scalable child welfare interventions through partnerships with local stakeholders.,A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG43778266,"toys, medical supplies","teaching, construction",https://www.sahyogmission.org
940,Jeevan Foundation,Delhi,Delhi,"education, livelihood",Committed to delivering scalable education interventions through partnerships with local stakeholders.,"Jeevan Foundation works across Delhi, offering programs in education. They focus on long-term impact and community engagement.",REG55570667,"books, blankets",project management,
941,Sahyog Society,Surat,Gujarat,"women empowerment, mental health","Focused on inclusive women empowerment programs, especially targeting women, children and marginalized groups.",Sahyog Society runs multiple initiatives in Surat related to women empowerment and works closely with local beneficiaries.,REG14777268,"stationery, medical supplies, kitchenware","counselling, marketing, software development",https://www.sahyogsociety.org
942,Nirmaan Initiative,Kolkata,West Bengal,"child welfare, water & sanitation","Working towards sustainable child welfare solutions, focusing on community-driven projects and capacity building.","Nirmaan Initiative works across Kolkata, offering programs in child welfare. They focus on long-term impact and community engagement.",REG28405369,"food, blankets, medical supplies",medical,
943,Navjeevan Centre,Guwahati,Assam,"rural development, water & sanitation","Focused on inclusive rural development programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to rural development with experience in project implementation and volunteer coordination.,REG36088770,"computers, clothes, kitchenware","legal aid, logistics, medical",
944,Sankalp Initiative,Patna,Bihar,research,Committed to delivering scalable research interventions through partnerships with local stakeholders.,"Sankalp Initiative works across Patna, offering programs in research. They focus on long-term impact and community engagement.",REG26663771,medical supplies,"event management, data analysis, teaching",https://www.sankalpinitiative.org
945,Samarpan Seva Kendra,Mumbai,Maharashtra,"disability support, women empowerment","Focused on inclusive disability support programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to disability support with experience in project implementation and volunteer coordination.,REG13946372,"medical supplies, computers, toys",,https://www.samarpansevakendra.org
946,Jagruti Society,Ahmedabad,Gujarat,"human rights, agriculture","We provide support and resources for human rights, aiming to build local resilience and skills.",Jagruti Society runs multiple initiatives in Ahmedabad related to human rights and works closely with local beneficiaries.,REG33247773,hygiene kits,"project management, software development",
947,Dhanak Society,Jaipur,Rajasthan,agriculture,"Focused on inclusive agriculture programs, especially targeting women, children and marginalized groups.",Dhanak Society runs multiple initiatives in Jaipur related to agriculture and works closely with local beneficiaries.,REG20953774,clothes,teaching,https://www.dhanaksociety.org
948,Sankriti Federation,Delhi,Delhi,research,"Working towards sustainable research solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG91411975,"books, stationery",teaching,
949,Seva Trust,Bhopal,Madhya Pradesh,"women empowerment, water & sanitation",Committed to delivering scalable women empowerment interventions through partnerships with local stakeholders.,A grassroots organization dedicated to women empowerment with experience in project implementation and volunteer coordination.,REG85356976,"toys, hygiene kits",,
950,Shram Initiative,Mumbai,Maharashtra,livelihood,"Working towards sustainable livelihood solutions, focusing on community-driven projects and capacity building.","Shram Initiative works across Mumbai, offering programs in livelihood. They focus on long-term impact and community engagement.",REG35744177,medical supplies,"software development, logistics",
951,Saathi Seva Kendra,Bhopal,Madhya Pradesh,disaster relief,"Focused on inclusive disaster relief programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to disaster relief with experience in project implementation and volunteer coordination.,REG15660778,"medical supplies, computers","fundraising, legal aid, event management",
952,Nirmaan Association,Delhi,Delhi,health,To improve access to health services for underserved communities in Delhi and surrounding areas.,A grassroots organization dedicated to health with experience in project implementation and volunteer coordination.,REG76846879,"hygiene kits, stationery","event management, software development, medical",
953,Samanvay Mission,Kochi,Kerala,"disaster relief, child welfare","Working towards sustainable disaster relief solutions, focusing on community-driven projects and capacity building.",Samanvay Mission runs multiple initiatives in Kochi related to disaster relief and works closely with local beneficiaries.,REG87046280,"toys, clothes","logistics, software development, fundraising",https://www.samanvaymission.org
954,Nayi Soch Society,Mumbai,Maharashtra,"disaster relief, animal welfare",To improve access to disaster relief services for underserved communities in Mumbai and surrounding areas.,Nayi Soch Society runs multiple initiatives in Mumbai related to disaster relief and works closely with local beneficiaries.,REG89055881,,"marketing, agriculture expertise, software development",
955,Sankalp Centre,Indore,Madhya Pradesh,housing,"We provide support and resources for housing, aiming to build local resilience and skills.",Sankalp Centre runs multiple initiatives in Indore related to housing and works closely with local beneficiaries.,REG87091582,kitchenware,mentoring,https://www.sankalpcentre.org
956,Nayi Soch Seva Kendra,Thiruvananthapuram,Kerala,microfinance,Committed to delivering scalable microfinance interventions through partnerships with local stakeholders.,Nayi Soch Seva Kendra runs multiple initiatives in Thiruvananthapuram related to microfinance and works closely with local beneficiaries.,REG78247583,"kitchenware, food",medical,
957,Jeevan Society,Chennai,Tamil Nadu,"disability support, rural development","Focused on inclusive disability support programs, especially targeting women, children and marginalized groups.",Jeevan Society runs multiple initiatives in Chennai related to disability support and works closely with local beneficiaries.,REG78592284,books,marketing,
958,Asha Federation,Visakhapatnam,Andhra Pradesh,education,"Working towards sustainable education solutions, focusing on community-driven projects and capacity building.",Asha Federation runs multiple initiatives in Visakhapatnam related to education and works closely with local beneficiaries.,REG94519585,"toys, computers",logistics,
959,Nirmaan Centre,Nagpur,Maharashtra,"elderly care, livelihood","Working towards sustainable elderly care solutions, focusing on community-driven projects and capacity building.","Nirmaan Centre works across Nagpur, offering programs in elderly care. They focus on long-term impact and community engagement.",REG57835186,"hygiene kits, computers, food",,
960,Nayi Disha Society,Mumbai,Maharashtra,health,"We provide support and resources for health, aiming to build local resilience and skills.",Nayi Disha Society runs multiple initiatives in Mumbai related to health and works closely with local beneficiaries.,REG17647687,,agriculture expertise,
961,Nayi Soch Initiative,Ahmedabad,Gujarat,"housing, disability support","Working towards sustainable housing solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to housing with experience in project implementation and volunteer coordination.,REG72444588,"books, toys, blankets","medical, agriculture expertise, logistics",
962,Pragati Foundation,Delhi,Delhi,"housing, agriculture","We provide support and resources for housing, aiming to build local resilience and skills.",A grassroots organization dedicated to housing with experience in project implementation and volunteer coordination.,REG15881389,"computers, stationery",legal aid,
963,Nirmaan Initiative,Hyderabad,Telangana,"rural development, elderly care","Focused on inclusive rural development programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to rural development with experience in project implementation and volunteer coordination.,REG37038390,"clothes, blankets","data analysis, event management, legal aid",
964,Asha Centre,Bengaluru,Karnataka,health,"We provide support and resources for health, aiming to build local resilience and skills.",Asha Centre runs multiple initiatives in Bengaluru related to health and works closely with local beneficiaries.,REG14996191,,,
965,Sahyog Seva Kendra,Surat,Gujarat,"microfinance, women empowerment","We provide support and resources for microfinance, aiming to build local resilience and skills.","Sahyog Seva Kendra works across Surat, offering programs in microfinance. They focus on long-term impact and community engagement.",REG73239692,"computers, stationery","agriculture expertise, marketing, project management",https://www.sahyogsevakendra.org
966,Asha Initiative,Mumbai,Maharashtra,water & sanitation,Committed to delivering scalable water & sanitation interventions through partnerships with local stakeholders.,"Asha Initiative works across Mumbai, offering programs in water & sanitation. They focus on long-term impact and community engagement.",REG16123893,toys,,https://www.ashainitiative.org
967,Nirmaan Mission,Vadodara,Gujarat,animal welfare,"We provide support and resources for animal welfare, aiming to build local resilience and skills.",Nirmaan Mission runs multiple initiatives in Vadodara related to animal welfare and works closely with local beneficiaries.,REG12297594,"books, clothes","fundraising, medical",
968,Asha Society,Kochi,Kerala,child welfare,"Focused on inclusive child welfare programs, especially targeting women, children and marginalized groups.","Asha Society works across Kochi, offering programs in child welfare. They focus on long-term impact and community engagement.",REG76402995,,legal aid,
969,Samarpan Charitable Trust,Visakhapatnam,Andhra Pradesh,health,"We provide support and resources for health, aiming to build local resilience and skills.","Samarpan Charitable Trust works across Visakhapatnam, offering programs in health. They focus on long-term impact and community engagement.",REG13349096,,,
970,Sahyog Seva Kendra,Bengaluru,Karnataka,"water & sanitation, rural development","Focused on inclusive water & sanitation programs, especially targeting women, children and marginalized groups.",Sahyog Seva Kendra runs multiple initiatives in Bengaluru related to water & sanitation and works closely with local beneficiaries.,REG3366090,"clothes, stationery, computers","software development, construction, marketing",
971,Nayi Soch Society,Guwahati,Assam,arts & culture,Committed to delivering scalable arts & culture interventions through partnerships with local stakeholders.,Nayi Soch Society runs multiple initiatives in Guwahati related to arts & culture and works closely with local beneficiaries.,REG3436131,,teaching,
972,Seva Charitable Trust,Patna,Bihar,elderly care,To improve access to elderly care services for underserved communities in Patna and surrounding areas.,A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG2654162,"food, clothes","logistics, fundraising",https://www.sevacharitabletrust.org
973,Nirmaan Federation,Guwahati,Assam,skill development,"Focused on inclusive skill development programs, especially targeting women, children and marginalized groups.","Nirmaan Federation works across Guwahati, offering programs in skill development. They focus on long-term impact and community engagement.",REG8867733,"medical supplies, books",,
974,Jeevan Centre,Patna,Bihar,"environment, health",To improve access to environment services for underserved communities in Patna and surrounding areas.,Jeevan Centre runs multiple initiatives in Patna related to environment and works closely with local beneficiaries.,REG7880904,"clothes, stationery, blankets",,https://www.jeevancentre.org
975,Asha Mission,Vadodara,Gujarat,"animal welfare, health",To improve access to animal welfare services for underserved communities in Vadodara and surrounding areas.,A grassroots organization dedicated to animal welfare with experience in project implementation and volunteer coordination.,REG2154285,"blankets, food",,
976,Sahyog Association,Bhopal,Madhya Pradesh,"skill development, elderly care","Focused on inclusive skill development programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to skill development with experience in project implementation and volunteer coordination.,REG2110786,"medical supplies, computers",software development,https://www.sahyogassociation.org
977,Asha Mission,Bhopal,Madhya Pradesh,"mental health, disability support","Working towards sustainable mental health solutions, focusing on community-driven projects and capacity building.","Asha Mission works across Bhopal, offering programs in mental health. They focus on long-term impact and community engagement.",REG6799777,"blankets, food",mentoring,
978,Pragati Centre,Patna,Bihar,"arts & culture, animal welfare",To improve access to arts & culture services for underserved communities in Patna and surrounding areas.,Pragati Centre runs multiple initiatives in Patna related to arts & culture and works closely with local beneficiaries.,REG1432198,stationery,"software development, counselling, legal aid",
979,Dhanak Centre,Thiruvananthapuram,Kerala,"elderly care, women empowerment",Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,"Dhanak Centre works across Thiruvananthapuram, offering programs in elderly care. They focus on long-term impact and community engagement.",REG9418499,"medical supplies, toys, blankets",,https://www.dhanakcentre.org
980,Dhanak Initiative,Patna,Bihar,microfinance,"We provide support and resources for microfinance, aiming to build local resilience and skills.",A grassroots organization dedicated to microfinance with experience in project implementation and volunteer coordination.,REG92876410,kitchenware,,
981,Udaan Society,Indore,Madhya Pradesh,"animal welfare, women empowerment","We provide support and resources for animal welfare, aiming to build local resilience and skills.",Udaan Society runs multiple initiatives in Indore related to animal welfare and works closely with local beneficiaries.,REG50641511,,mentoring,
982,Navjeevan Centre,Hyderabad,Telangana,disaster relief,"Working towards sustainable disaster relief solutions, focusing on community-driven projects and capacity building.",Navjeevan Centre runs multiple initiatives in Hyderabad related to disaster relief and works closely with local beneficiaries.,REG25921412,"medical supplies, computers, toys",data analysis,
983,Jeevan Trust,Bhopal,Madhya Pradesh,"housing, water & sanitation","Focused on inclusive housing programs, especially targeting women, children and marginalized groups.","Jeevan Trust works across Bhopal, offering programs in housing. They focus on long-term impact and community engagement.",REG54943013,"food, clothes, books",,
984,Jagruti Foundation,Ahmedabad,Gujarat,"microfinance, elderly care","Working towards sustainable microfinance solutions, focusing on community-driven projects and capacity building.",Jagruti Foundation runs multiple initiatives in Ahmedabad related to microfinance and works closely with local beneficiaries.,REG62121914,"clothes, hygiene kits, computers","marketing, mentoring, legal aid",
985,Udaan Mission,Visakhapatnam,Andhra Pradesh,human rights,Committed to delivering scalable human rights interventions through partnerships with local stakeholders.,A grassroots organization dedicated to human rights with experience in project implementation and volunteer coordination.,REG84544615,"kitchenware, blankets",teaching,
986,Prerna Association,Bengaluru,Karnataka,housing,Committed to delivering scalable housing interventions through partnerships with local stakeholders.,Prerna Association runs multiple initiatives in Bengaluru related to housing and works closely with local beneficiaries.,REG37174516,"stationery, books","agriculture expertise, medical, event management",https://www.prernaassociation.org
987,Samarpan Federation,Jaipur,Rajasthan,"child welfare, microfinance",To improve access to child welfare services for underserved communities in Jaipur and surrounding areas.,"Samarpan Federation works across Jaipur, offering programs in child welfare. They focus on long-term impact and community engagement.",REG92303317,"computers, hygiene kits","legal aid, project management, medical",
988,Seva Centre,Visakhapatnam,Andhra Pradesh,"environment, mental health",To improve access to environment services for underserved communities in Visakhapatnam and surrounding areas.,"Seva Centre works across Visakhapatnam, offering programs in environment. They focus on long-term impact and community engagement.",REG42014518,food,"marketing, fundraising",
989,Samanvay Mission,Thiruvananthapuram,Kerala,"housing, child welfare","Focused on inclusive housing programs, especially targeting women, children and marginalized groups.","Samanvay Mission works across Thiruvananthapuram, offering programs in housing. They focus on long-term impact and community engagement.",REG96156519,food,,
990,Sankriti Seva Kendra,Thiruvananthapuram,Kerala,microfinance,"Working towards sustainable microfinance solutions, focusing on community-driven projects and capacity building.",Sankriti Seva Kendra runs multiple initiatives in Thiruvananthapuram related to microfinance and works closely with local beneficiaries.,REG31219020,"clothes, toys, blankets","mentoring, medical, event management",
991,Nayi Soch Charitable Trust,Pune,Maharashtra,"housing, arts & culture","We provide support and resources for housing, aiming to build local resilience and skills.","Nayi Soch Charitable Trust works across Pune, offering programs in housing. They focus on long-term impact and community engagement.",REG61057221,toys,event management,
992,Seva Seva Kendra,Nagpur,Maharashtra,elderly care,"Focused on inclusive elderly care programs, especially targeting women, children and marginalized groups.","Seva Seva Kendra works across Nagpur, offering programs in elderly care. They focus on long-term impact and community engagement.",REG50907622,hygiene kits,"medical, software development",
993,Jagruti Centre,Mumbai,Maharashtra,"child welfare, research",Committed to delivering scalable child welfare interventions through partnerships with local stakeholders.,"Jagruti Centre works across Mumbai, offering programs in child welfare. They focus on long-term impact and community engagement.",REG51362523,,"logistics, construction",
994,Jeevan Society,Bengaluru,Karnataka,"microfinance, disability support",Committed to delivering scalable microfinance interventions through partnerships with local stakeholders.,"Jeevan Society works across Bengaluru, offering programs in microfinance. They focus on long-term impact and community engagement.",REG93680924,"books, kitchenware",data analysis,
995,Saathi Initiative,Chennai,Tamil Nadu,"human rights, water & sanitation","Working towards sustainable human rights solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to human rights with experience in project implementation and volunteer coordination.,REG10746025,"hygiene kits, computers",,https://www.saathiinitiative.org
996,Sankriti Seva Kendra,Bhopal,Madhya Pradesh,"research, mental health",Committed to delivering scalable research interventions through partnerships with local stakeholders.,A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG62879826,"blankets, books, clothes","event management, construction, fundraising",
997,Nayi Soch Federation,Lucknow,Uttar Pradesh,skill development,Committed to delivering scalable skill development interventions through partnerships with local stakeholders.,"Nayi Soch Federation works across Lucknow, offering programs in skill development. They focus on long-term impact and community engagement.",REG50395527,"books, toys","medical, marketing",https://www.nayisochfederation.org
998,Saathi Federation,Kolkata,West Bengal,mental health,Committed to delivering scalable mental health interventions through partnerships with local stakeholders.,A grassroots organization dedicated to mental health with experience in project implementation and volunteer coordination.,REG73964428,"blankets, clothes, medical supplies","agriculture expertise, mentoring, logistics",
999,Jeevan Foundation,Kolkata,West Bengal,research,Committed to delivering scalable research interventions through partnerships with local stakeholders.,A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG61274629,,"construction, project management, logistics",
1000,Saathi Foundation,Visakhapatnam,Andhra Pradesh,disaster relief,"Working towards sustainable disaster relief solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to disaster relief with experience in project implementation and volunteer coordination.,REG12197130,"blankets, hygiene kits, food",teaching,
1001,Sahyog Centre,Guwahati,Assam,"water & sanitation, agriculture",To improve access to water & sanitation services for underserved communities in Guwahati and surrounding areas.,A grassroots organization dedicated to water & sanitation with experience in project implementation and volunteer coordination.,REG29242931,"food, medical supplies","construction, marketing",
1002,Nayi Disha Association,Guwahati,Assam,"rural development, research","Focused on inclusive rural development programs, especially targeting women, children and marginalized groups.",Nayi Disha Association runs multiple initiatives in Guwahati related to rural development and works closely with local beneficiaries.,REG45077432,"computers, stationery","medical, software development",
1003,Prerna Initiative,Ahmedabad,Gujarat,child welfare,"We provide support and resources for child welfare, aiming to build local resilience and skills.",A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG59563733,kitchenware,"data analysis, counselling",
1004,Sankriti Seva Kendra,Delhi,Delhi,"disaster relief, child welfare","Working towards sustainable disaster relief solutions, focusing on community-driven projects and capacity building.",Sankriti Seva Kendra runs multiple initiatives in Delhi related to disaster relief and works closely with local beneficiaries.,REG37167734,"computers, books",event management,https://www.sankritisevakendra.org
1005,Sankalp Initiative,Chennai,Tamil Nadu,"agriculture, women empowerment","Working towards sustainable agriculture solutions, focusing on community-driven projects and capacity building.","Sankalp Initiative works across Chennai, offering programs in agriculture. They focus on long-term impact and community engagement.",REG51137235,"stationery, hygiene kits",agriculture expertise,
1006,Navjeevan Initiative,Nagpur,Maharashtra,"education, microfinance",To improve access to education services for underserved communities in Nagpur and surrounding areas.,A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG70994936,"books, toys","agriculture expertise, project management",https://www.navjeevaninitiative.org
1007,Prerna Seva Kendra,Jaipur,Rajasthan,"arts & culture, child welfare","Working towards sustainable arts & culture solutions, focusing on community-driven projects and capacity building.",Prerna Seva Kendra runs multiple initiatives in Jaipur related to arts & culture and works closely with local beneficiaries.,REG63666937,"computers, clothes","marketing, project management",
1008,Sankalp Mission,Indore,Madhya Pradesh,"research, rural development","Working towards sustainable research solutions, focusing on community-driven projects and capacity building.",Sankalp Mission runs multiple initiatives in Indore related to research and works closely with local beneficiaries.,REG26342238,medical supplies,"software development, legal aid",https://www.sankalpmission.org
1009,Navjeevan Society,Hyderabad,Telangana,agriculture,"Focused on inclusive agriculture programs, especially targeting women, children and marginalized groups.","Navjeevan Society works across Hyderabad, offering programs in agriculture. They focus on long-term impact and community engagement.",REG26084539,"clothes, medical supplies",,
1010,Samanvay Society,Ahmedabad,Gujarat,women empowerment,Committed to delivering scalable women empowerment interventions through partnerships with local stakeholders.,Samanvay Society runs multiple initiatives in Ahmedabad related to women empowerment and works closely with local beneficiaries.,REG28774840,"clothes, hygiene kits","data analysis, construction, medical",https://www.samanvaysociety.org
1011,Shram Initiative,Guwahati,Assam,health,"Working towards sustainable health solutions, focusing on community-driven projects and capacity building.","Shram Initiative works across Guwahati, offering programs in health. They focus on long-term impact and community engagement.",REG75210441,"kitchenware, hygiene kits","mentoring, software development",
1012,Nayi Disha Charitable Trust,Bhopal,Madhya Pradesh,"rural development, housing","Focused on inclusive rural development programs, especially targeting women, children and marginalized groups.","Nayi Disha Charitable Trust works across Bhopal, offering programs in rural development. They focus on long-term impact and community engagement.",REG28952242,food,agriculture expertise,https://www.nayidishacharitabletrust.org
1013,Asha Federation,Bengaluru,Karnataka,"elderly care, water & sanitation",Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,"Asha Federation works across Bengaluru, offering programs in elderly care. They focus on long-term impact and community engagement.",REG69762043,"toys, stationery, books","marketing, mentoring",
1014,Pragati Mission,Indore,Madhya Pradesh,"elderly care, arts & culture",To improve access to elderly care services for underserved communities in Indore and surrounding areas.,A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG14492444,"hygiene kits, computers, food","data analysis, teaching, agriculture expertise",
1015,Dhanak Seva Kendra,Nagpur,Maharashtra,"human rights, disability support",To improve access to human rights services for underserved communities in Nagpur and surrounding areas.,A grassroots organization dedicated to human rights with experience in project implementation and volunteer coordination.,REG98636845,hygiene kits,fundraising,
1016,Samanvay Seva Kendra,Surat,Gujarat,disaster relief,"We provide support and resources for disaster relief, aiming to build local resilience and skills.",A grassroots organization dedicated to disaster relief with experience in project implementation and volunteer coordination.,REG86464746,food,"legal aid, mentoring, teaching",https://www.samanvaysevakendra.org
1017,Samanvay Charitable Trust,Pune,Maharashtra,"livelihood, research",To improve access to livelihood services for underserved communities in Pune and surrounding areas.,A grassroots organization dedicated to livelihood with experience in project implementation and volunteer coordination.,REG70933047,clothes,,
1018,Pragati Society,Kolkata,West Bengal,research,"Working towards sustainable research solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG87210948,"stationery, blankets","software development, data analysis",
1019,Samarpan Charitable Trust,Bhopal,Madhya Pradesh,rural development,Committed to delivering scalable rural development interventions through partnerships with local stakeholders.,A grassroots organization dedicated to rural development with experience in project implementation and volunteer coordination.,REG84023149,,,
1020,Jagruti Initiative,Visakhapatnam,Andhra Pradesh,research,"Working towards sustainable research solutions, focusing on community-driven projects and capacity building.",Jagruti Initiative runs multiple initiatives in Visakhapatnam related to research and works closely with local beneficiaries.,REG91413850,"kitchenware, medical supplies, food","project management, event management, agriculture expertise",https://www.jagrutiinitiative.org
1021,Asha Society,Delhi,Delhi,"arts & culture, housing",To improve access to arts & culture services for underserved communities in Delhi and surrounding areas.,A grassroots organization dedicated to arts & culture with experience in project implementation and volunteer coordination.,REG30524651,stationery,"teaching, construction",
1022,Nirmaan Foundation,Bhopal,Madhya Pradesh,"education, human rights","We provide support and resources for education, aiming to build local resilience and skills.",A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG46155952,"blankets, food","construction, software development",
1023,Prerna Initiative,Vadodara,Gujarat,health,Committed to delivering scalable health interventions through partnerships with local stakeholders.,"Prerna Initiative works across Vadodara, offering programs in health. They focus on long-term impact and community engagement.",REG84143353,,"teaching, agriculture expertise",https://www.prernainitiative.org
1024,Samarpan Charitable Trust,Jaipur,Rajasthan,"health, environment",Committed to delivering scalable health interventions through partnerships with local stakeholders.,Samarpan Charitable Trust runs multiple initiatives in Jaipur related to health and works closely with local beneficiaries.,REG73675354,"food, books, hygiene kits",mentoring,https://www.samarpancharitabletrust.org
1025,Prerna Foundation,Ahmedabad,Gujarat,education,"Focused on inclusive education programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG26805655,"kitchenware, clothes",counselling,https://www.prernafoundation.org
1026,Shram Seva Kendra,Vadodara,Gujarat,elderly care,"We provide support and resources for elderly care, aiming to build local resilience and skills.","Shram Seva Kendra works across Vadodara, offering programs in elderly care. They focus on long-term impact and community engagement.",REG24152556,"stationery, toys","data analysis, agriculture expertise",https://www.shramsevakendra.org
1027,Shram Association,Indore,Madhya Pradesh,"health, animal welfare","Focused on inclusive health programs, especially targeting women, children and marginalized groups.",Shram Association runs multiple initiatives in Indore related to health and works closely with local beneficiaries.,REG11682557,computers,"mentoring, legal aid, counselling",
1028,Shram Centre,Vadodara,Gujarat,"disability support, mental health","We provide support and resources for disability support, aiming to build local resilience and skills.",Shram Centre runs multiple initiatives in Vadodara related to disability support and works closely with local beneficiaries.,REG45011958,food,,
1029,Saathi Federation,Ahmedabad,Gujarat,elderly care,To improve access to elderly care services for underserved communities in Ahmedabad and surrounding areas.,Saathi Federation runs multiple initiatives in Ahmedabad related to elderly care and works closely with local beneficiaries.,REG29300459,"books, computers",teaching,
1030,Nayi Soch Foundation,Hyderabad,Telangana,agriculture,"Focused on inclusive agriculture programs, especially targeting women, children and marginalized groups.","Nayi Soch Foundation works across Hyderabad, offering programs in agriculture. They focus on long-term impact and community engagement.",REG57362160,,,
1031,Nirmaan Association,Guwahati,Assam,"women empowerment, health","Focused on inclusive women empowerment programs, especially targeting women, children and marginalized groups.","Nirmaan Association works across Guwahati, offering programs in women empowerment. They focus on long-term impact and community engagement.",REG81159561,,"data analysis, teaching",
1032,Sankalp Foundation,Pune,Maharashtra,arts & culture,To improve access to arts & culture services for underserved communities in Pune and surrounding areas.,Sankalp Foundation runs multiple initiatives in Pune related to arts & culture and works closely with local beneficiaries.,REG14375762,,"teaching, data analysis",https://www.sankalpfoundation.org
1033,Jagruti Foundation,Guwahati,Assam,"elderly care, arts & culture",To improve access to elderly care services for underserved communities in Guwahati and surrounding areas.,A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG25265063,"computers, clothes",software development,
1034,Navjeevan Charitable Trust,Kolkata,West Bengal,"agriculture, human rights",To improve access to agriculture services for underserved communities in Kolkata and surrounding areas.,A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG53579964,"books, clothes",marketing,
1035,Sankalp Foundation,Patna,Bihar,livelihood,To improve access to livelihood services for underserved communities in Patna and surrounding areas.,A grassroots organization dedicated to livelihood with experience in project implementation and volunteer coordination.,REG60220265,"books, toys, medical supplies",software development,
1036,Navjeevan Centre,Jaipur,Rajasthan,elderly care,To improve access to elderly care services for underserved communities in Jaipur and surrounding areas.,"Navjeevan Centre works across Jaipur, offering programs in elderly care. They focus on long-term impact and community engagement.",REG67180066,"kitchenware, computers",,
1037,Jagruti Trust,Indore,Madhya Pradesh,"child welfare, animal welfare",Committed to delivering scalable child welfare interventions through partnerships with local stakeholders.,A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG26655667,,"marketing, fundraising, legal aid",
1038,Asha Initiative,Patna,Bihar,agriculture,"Focused on inclusive agriculture programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG84384968,"kitchenware, toys, computers","medical, data analysis, construction",https://www.ashainitiative.org
1039,Sankriti Mission,Guwahati,Assam,"child welfare, disaster relief",Committed to delivering scalable child welfare interventions through partnerships with local stakeholders.,A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG98126769,,"medical, fundraising, legal aid",
